file_path,detected_name,unicode_sequence,codepoints_hex,status,method
all/Couple With Heart Man Person Medium Light Skin Tone Medium Dark Skin Tone.svg,Couple With Heart Man Person Medium Light Skin Tone Medium Dark Skin Tone,👨🏼‍❤️‍🧑🏾,1F468-1F3FC-200D-2764-FE0F-200D-1F9D1-1F3FE,mapped,special: couple-with-heart (MAN PERSON)
all/Person Getting Haircut Dark Skin Tone.svg,Person Getting Haircut Dark Skin Tone,💇🏿,1F487-1F3FF,mapped,auto-cldr-exact
all/White Cane.svg,White Cane,🦯,1F9AF,mapped,auto-cldr-exact
all/Pick.svg,Pick,⛏️,26CF-FE0F,mapped,lookup|fq-correction
all/Flag Nepal.svg,Flag Nepal,🇳🇵,1F1F3-1F1F5,mapped,flag
all/Woman Playing Water Polo.svg,Woman Playing Water Polo,🤽‍♀️,1F93D-200D-2640-FE0F,mapped,auto-cldr-exact
all/Pistol.svg,Pistol,🔫,1F52B,mapped,lookup
all/Peacock.svg,Peacock,🦚,1F99A,mapped,lookup
all/Woman Mage Medium Skin Tone.svg,Woman Mage Medium Skin Tone,🧙🏽‍♀️,1F9D9-1F3FD-200D-2640-FE0F,mapped,lookup+tone+gender
all/Person Gesturing Ok Dark Skin Tone.svg,Person Gesturing Ok Dark Skin Tone,🙆🏿,1F646-1F3FF,mapped,auto-cldr-exact
all/Stuffed Flatbread.svg,Stuffed Flatbread,🥙,1F959,mapped,lookup
all/Flashlight.svg,Flashlight,🔦,1F526,mapped,auto-cldr-exact
all/Drooling Face.svg,Drooling Face,🤤,1F924,mapped,lookup
all/Woman Tipping Hand Medium Dark Skin Tone.svg,Woman Tipping Hand Medium Dark Skin Tone,💁🏾‍♀️,1F481-1F3FE-200D-2640-FE0F,mapped,auto-cldr-exact
all/Purple Heart.svg,Purple Heart,💜,1F49C,mapped,lookup
all/Couple With Heart Woman Woman Dark Skin Tone Medium Skin Tone.svg,Couple With Heart Woman Woman Dark Skin Tone Medium Skin Tone,👩🏿‍❤️‍👩🏽,1F469-1F3FF-200D-2764-FE0F-200D-1F469-1F3FD,mapped,lookup+tone+gender|fq-correction
all/Flag Cocos Keeling Islands.svg,Flag Cocos Keeling Islands,🇨🇨,1F1E8-1F1E8,mapped,flag
all/Man Frowning Dark Skin Tone.svg,Man Frowning Dark Skin Tone,🙍🏿‍♂️,1F64D-1F3FF-200D-2642-FE0F,mapped,auto-cldr-exact
all/Ghost.svg,Ghost,👻,1F47B,mapped,lookup
all/Person In Tuxedo Dark Skin Tone.svg,Person In Tuxedo Dark Skin Tone,🤵🏿,1F935-1F3FF,mapped,translation-pass
all/Vertical Traffic Light.svg,Vertical Traffic Light,🚦,1F6A6,mapped,lookup
